timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
195949,Llanto,30,0.730469,0.269531,80920,0.87,45.3,44.0
197375,Llanto,20,0.660156,0.339844,80920,1.29,45.2,44.0
198804,Llanto,30,0.652344,0.347656,80920,1.29,45.2,44.0
200209,Llanto,30,0.617188,0.382812,80920,1.0,45.0,43.0
201634,Llanto,20,0.609375,0.390625,80920,0.99,45.1,46.0
203064,Llanto,30,0.527344,0.472656,80920,0.99,45.1,46.0
204470,Ruido,30,0.449219,0.550781,80920,0.94,94.8,90.0
205899,Llanto,20,0.703125,0.296875,80920,1.0,45.2,48.0
207319,Ruido,30,0.007812,0.992188,80920,0.93,45.1,44.0
208731,Ruido,30,0.421875,0.578125,80920,0.93,45.1,44.0
210153,Llanto,20,0.550781,0.449219,80920,1.01,45.5,46.0
211580,Ruido,30,0.210938,0.789062,80920,0.94,45.1,44.0
212991,Llanto,30,0.578125,0.421875,80920,0.94,45.1,44.0
214415,Llanto,20,0.527344,0.472656,80920,1.01,44.7,48.0
215839,Llanto,30,0.625,0.375,80920,0.94,45.2,44.0
217249,Llanto,30,0.703125,0.296875,80920,1.0,45.0,48.0
218675,Ruido,20,0.492188,0.507812,80920,1.0,45.0,48.0
220103,Llanto,30,0.617188,0.382812,80920,0.97,92.2,48.0
221514,Llanto,30,0.550781,0.449219,80920,1.04,45.2,49.0
222934,Llanto,20,0.585938,0.414062,80920,1.04,45.2,49.0
224359,Llanto,30,0.6875,0.3125,80920,1.02,55.8,56.0
225770,Ruido,30,0.027344,0.972656,80920,1.09,45.1,29.0
227199,Ruido,20,0.347656,0.652344,80920,1.09,45.1,29.0
228620,Llanto,30,0.660156,0.339844,80920,1.02,93.6,97.0
230036,Ruido,30,0.429688,0.570312,80920,1.08,45.0,2.0
231453,Llanto,20,0.792969,0.207031,80920,1.01,45.1,48.0
232883,Llanto,30,0.535156,0.464844,80920,1.01,45.1,48.0
234290,Ruido,30,0.347656,0.652344,80920,1.08,45.1,8.0
235715,Ruido,20,0.058594,0.941406,80920,1.02,93.1,97.0
237141,Llanto,30,0.808594,0.191406,80920,1.02,93.1,97.0
238552,Ruido,30,0.332031,0.667969,80920,1.07,102.0,66.0
239979,Ruido,20,0.304688,0.695312,80920,1.04,45.1,54.0
241401,Llanto,30,0.765625,0.234375,80920,1.08,55.4,25.0
242812,Llanto,30,0.515625,0.484375,80920,1.08,55.4,25.0
244233,Ruido,20,0.269531,0.730469,80920,1.04,45.0,54.0
245660,Ruido,30,0.042969,0.957031,80920,1.08,44.9,23.0
247069,Ruido,30,0.070312,0.929688,80920,1.08,44.9,23.0
248497,Ruido,20,0.03125,0.96875,80920,1.04,45.1,52.0
249923,Ruido,30,0.003906,0.996094,80920,0.22,45.0,23.0
251336,Llanto,30,0.871094,0.128906,80920,0.22,45.0,23.0
252755,Llanto,20,0.777344,0.222656,80920,1.04,121.6,269.0
254180,Llanto,30,0.632812,0.367188,80920,1.08,45.2,33.0
255589,Llanto,30,0.671875,0.328125,80920,1.37,93.9,90.0
257015,Llanto,20,0.867188,0.132812,80920,1.37,93.9,90.0
258440,Llanto,30,0.507812,0.492188,80920,0.84,91.8,97.0
259849,Ruido,30,0.484375,0.515625,80920,1.15,45.1,44.0
261275,Llanto,20,0.914062,0.085938,80920,1.15,45.1,44.0
262700,Llanto,30,0.660156,0.339844,80920,1.04,45.1,43.0
264110,Llanto,30,0.667969,0.332031,80920,1.17,44.8,44.0
265535,Ruido,20,0.464844,0.535156,80920,1.02,53.6,48.0
266961,Llanto,30,0.550781,0.449219,80920,1.02,53.6,48.0
268370,Ruido,30,0.0625,0.9375,80920,1.04,45.0,46.0
269796,Llanto,20,0.800781,0.199219,80920,1.04,45.0,43.0
271223,Ruido,30,0.261719,0.738281,80920,1.04,45.0,43.0
272634,Llanto,30,0.71875,0.28125,80920,1.09,45.1,46.0
274061,Llanto,30,0.570312,0.429688,80920,0.97,45.2,41.0
275525,Llanto,30,0.722656,0.277344,80920,1.01,62.0,62.0
276890,Llanto,30,0.578125,0.421875,80920,1.01,62.0,62.0
278316,Llanto,20,0.757812,0.242188,80920,0.97,47.1,41.0
279741,Llanto,30,0.515625,0.484375,80920,1.0,94.6,95.0
281150,Llanto,30,0.542969,0.457031,80920,1.0,94.6,95.0
282577,Ruido,20,0.320312,0.679688,80920,1.06,44.9,43.0
284001,Ruido,30,0.472656,0.527344,80920,1.09,45.1,46.0
285411,Llanto,30,0.507812,0.492188,80920,1.09,45.1,46.0
286835,Ruido,20,0.289062,0.710938,80920,1.08,96.0,88.0
288265,Ruido,30,0.355469,0.644531,80920,1.08,45.0,46.0
289669,Llanto,30,0.644531,0.355469,80920,0.98,45.2,43.0
291097,Llanto,20,0.632812,0.367188,80920,0.98,45.2,43.0
292522,Llanto,30,0.527344,0.472656,80920,0.98,45.6,46.0
293932,Llanto,30,0.6875,0.3125,80920,0.94,55.1,51.0
295356,Ruido,20,0.457031,0.542969,80920,0.94,55.1,51.0
296782,Llanto,30,0.738281,0.261719,80920,1.0,91.5,92.0
298190,Llanto,30,0.625,0.375,80920,0.94,47.0,44.0
299651,Llanto,20,0.671875,0.328125,80920,1.0,69.6,70.0
301045,Llanto,30,0.757812,0.242188,80920,1.0,69.6,70.0
302451,Llanto,30,0.535156,0.464844,80920,0.96,45.2,43.0
303875,Llanto,20,0.800781,0.199219,80920,1.0,46.8,46.0
305300,Llanto,30,0.992188,0.007812,80920,1.0,46.8,46.0
306713,Llanto,30,0.75,0.25,80920,0.94,45.3,43.0
308135,Ruido,20,0.398438,0.601562,80920,1.0,54.0,56.0
309561,Llanto,30,0.804688,0.195312,80920,1.0,54.0,56.0
310970,Ruido,30,0.289062,0.710938,80920,0.96,44.9,46.0
312400,Llanto,20,0.644531,0.355469,80920,1.08,45.0,2.0
313820,Llanto,30,0.910156,0.089844,80920,1.02,45.3,48.0
315256,Llanto,30,0.835938,0.164062,80920,1.02,45.3,48.0
316655,Llanto,20,0.777344,0.222656,80920,1.08,45.3,0.0
318083,Llanto,30,0.871094,0.128906,80920,0.99,45.3,48.0
319490,Llanto,30,0.765625,0.234375,80920,0.99,45.3,48.0
320917,Llanto,20,0.746094,0.253906,80920,1.07,45.0,44.0
322347,Llanto,30,0.871094,0.128906,80920,1.02,50.3,48.0
323765,Ruido,30,0.40625,0.59375,80920,1.09,76.0,48.0
325177,Ruido,20,0.375,0.625,80920,1.09,76.0,48.0
326600,Llanto,30,0.871094,0.128906,80920,1.03,45.1,59.0
328015,Llanto,30,0.507812,0.492188,80920,0.3,45.1,46.0
329436,Ruido,20,0.046875,0.953125,80920,0.3,45.1,46.0
330861,Ruido,30,0.320312,0.679688,80920,1.52,51.9,56.0
332271,Llanto,30,0.632812,0.367188,80920,0.05,45.2,48.0
333697,Ruido,20,0.375,0.625,80920,0.05,45.2,48.0
335120,Llanto,30,0.535156,0.464844,80920,2.81,91.3,93.0
336533,Llanto,30,0.847656,0.152344,80920,0.7,45.4,46.0
337956,Llanto,20,0.722656,0.277344,80920,1.24,45.0,49.0
339384,Llanto,30,0.617188,0.382812,80920,1.24,45.0,49.0
340790,Ruido,30,0.457031,0.542969,80920,0.01,45.2,48.0
342217,Ruido,20,0.414062,0.585938,80920,2.69,45.2,48.0
343640,Ruido,30,0.25,0.75,80920,2.69,45.2,48.0
345053,Llanto,30,0.878906,0.121094,80920,0.31,53.7,48.0
346477,Llanto,20,0.660156,0.339844,80920,1.16,44.7,48.0
347900,Llanto,30,0.730469,0.269531,80920,0.9,45.4,44.0
349315,Ruido,30,0.125,0.875,80920,0.9,45.4,44.0
350735,Llanto,20,0.867188,0.132812,80920,1.15,44.8,48.0
352162,Llanto,30,0.652344,0.347656,80920,0.2,45.1,48.0
353570,Ruido,30,0.28125,0.71875,80920,0.2,45.1,48.0
354997,Llanto,20,0.722656,0.277344,80920,2.88,45.0,48.0
356421,Llanto,30,0.609375,0.390625,80920,0.5,44.9,46.0
357832,Llanto,30,0.558594,0.441406,80920,0.5,44.9,46.0
359256,Llanto,20,0.789062,0.210938,80920,1.04,96.9,108.0
360682,Llanto,30,0.820312,0.179688,80920,1.07,45.1,38.0
362091,Ruido,30,0.421875,0.578125,80920,1.04,45.0,108.0
363516,Llanto,20,0.617188,0.382812,80920,1.04,45.0,108.0
364965,Llanto,30,0.609375,0.390625,80920,0.96,44.8,39.0
366353,Llanto,30,0.71875,0.28125,80920,1.04,52.0,80.0
367780,Ruido,20,0.398438,0.601562,80920,1.04,52.0,80.0
369201,Llanto,30,0.652344,0.347656,80920,1.08,44.9,10.0
370613,Llanto,30,0.730469,0.269531,80920,1.01,45.0,46.0
372036,Ruido,20,0.148438,0.851562,80920,1.04,96.5,100.0
373464,Llanto,30,0.894531,0.105469,80920,1.04,96.5,100.0
374871,Llanto,30,0.824219,0.175781,80920,0.94,45.1,46.0
376297,Llanto,20,0.929688,0.070312,80920,1.01,47.7,49.0
377721,Llanto,30,0.527344,0.472656,80920,1.01,47.7,49.0
379132,Llanto,30,0.757812,0.242188,80920,0.94,45.0,43.0
380555,Llanto,20,0.578125,0.421875,80920,0.98,53.8,54.0
381980,Ruido,30,0.398438,0.601562,80920,0.98,53.8,54.0
383390,Llanto,30,0.78125,0.21875,80920,0.96,93.5,87.0
384816,Llanto,20,0.921875,0.078125,80920,1.0,54.9,56.0
386244,Ruido,30,0.472656,0.527344,80920,1.05,45.2,43.0
387651,Ruido,30,0.3125,0.6875,80920,1.05,45.2,43.0
389077,Llanto,20,0.515625,0.484375,80920,1.14,45.1,46.0
390505,Llanto,30,0.625,0.375,80920,0.04,45.5,49.0
391914,Llanto,30,0.988281,0.011719,80920,0.04,45.5,49.0
393337,Ruido,20,0.160156,0.839844,80920,1.03,45.3,51.0
394762,Llanto,30,0.558594,0.441406,80920,1.08,45.3,11.0
396171,Ruido,30,0.222656,0.777344,80920,1.03,45.6,62.0
